　,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,わ,お,ん,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ,ゃ,ゅ,ょ,ヴ,ぁ,ぃ,ぅ,ぇ,ぉ,っ,ー
あ,-5412,-5412,-5568,-5490,-5568,-5490,-4944,-5490,-4710,-5490,-5568,-5568,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5022,-5490,-5568,-5568,-5568,-4320,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-4320,-5412,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4554,-5568
い,-5490,-5100,-2916,-5334,-5568,-4476,-4242,-5334,-5412,-5022,-5490,-5178,-5412,-5568,-5256,204,-5568,-5100,-3306,-4632,-3774,-5178,-5490,-5412,-4788,-4944,-5490,-5490,-5568,-5490,-3696,-5490,-5568,-5568,-5490,-4944,-5568,-5178,-5256,-5568,-5334,-4788,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5490,-5568,-4398,-5568,-5568,-4476,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-3930,-5568
う,-5568,-5334,-5568,-5568,-5568,-5022,-5490,-5490,-5490,-4554,-5568,-5100,-5490,-5412,-5568,-5178,-5100,-5412,-4320,-3618,-4164,-4086,-5568,-5568,-5100,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5412,-5490,-4632,-5178,-5490,-5412,-5412,-5568,-5256,-5490,-5568,-5568,-5568,-5568,-5568,-5334,-5490,-5568,-5334,-4788,-5568,-5568,-4788,-5568,-5568,-5490,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568
え,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-4320,-5568,-5490,-4788,-5412,-5334,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5334,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
お,-5412,-5490,-5178,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5412,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4710,-5568,-5568,-5568,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
か,-5412,-4944,-5568,-5178,-5568,-5256,-5412,-5256,-5412,-5412,-5412,-4086,-5490,-5490,-5568,-5568,-5412,-5412,-5178,-4164,-4866,-4320,-5412,-5256,-5334,-5490,-5568,-5568,-5412,-5490,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5568,-5412,-5568,-5022,-5334,-5568,-5568,-5568,-5412,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-2838,-5490
き,-5490,-5100,-5568,-5568,-5490,-5178,-5490,-5334,-5568,-5022,-5568,-5490,-5568,-5568,-5568,-5490,-5490,-5412,-5490,-5412,-4086,-5256,-5568,-5490,-5256,-5100,-5568,-5568,-5568,-5568,-4944,-5568,-5568,-5490,-5568,-5100,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-4788,-5568,-5568,-4866,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
く,-5490,-5412,-5568,-5568,-5568,-5490,-5412,-5568,-5568,-5412,-5490,-5334,-5490,-5568,-5490,-5568,-5490,-5568,-5334,-4788,-4788,-5412,-5568,-5568,-5178,-5490,-5568,-5568,-5568,-5490,-5412,-5490,-5568,-5490,-5412,-5568,-5568,-5334,-5568,-5568,-5334,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5490
け,-5568,-5412,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5412,-5568,-5568,-5568,-4476,-5568,-5568,-4086,-5490,-5178,-4788,-5412,-5490,-5178,-5256,-5568,-5568,-5568,-5568,-5490,-5490,-5490,-5568,-5490,-5490,-5568,-5490,-5568,-5568,-5412,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5334,-4476,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5022,-5568
こ,-5568,-5412,-5022,-5022,-5568,-5490,-5568,-5490,-5568,-5022,-5568,-5334,-5568,-5412,-5568,-5568,-5334,-5568,-5568,-888,-5100,-5412,-5568,-5568,-4320,-5568,-5568,-5568,-5256,-5568,-5334,-5490,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-4632,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5178,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
さ,-5412,-5178,-5568,-5490,-5568,-5256,-5412,-5490,-5490,-5568,-5490,-5334,-5490,-5256,-5334,-5568,-5568,-5568,-5568,-5490,-5412,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5412,-5568,-5568,-5568,-5412,-5568,-5568,-5178,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
し,-5568,-4008,-5568,-5568,-5490,-3930,-5412,-4944,-5568,-5490,-5568,-5568,-5568,-5568,-5256,1686,-5568,-5568,2544,-5490,-5178,-5100,-5490,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-2448,-5178,-5568,-5412,-5412,-5490,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5568,-4710,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490
す,-5490,-5490,-5490,-5568,-5568,-4476,-5490,-5490,-5178,-5490,-5568,-5568,-5490,-5568,-5568,-5334,-5568,-5568,-5412,-5100,-5490,-5490,-5568,-5256,-4788,-5568,-5568,-5568,-5568,-5568,-5178,-5568,-5490,-5568,-5490,-5568,-5568,-5256,-4554,-5568,-5490,-5412,-5256,-4944,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
せ,-5568,-5412,-5568,-5490,-5412,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5490,-5100,-5568,-5568,-4866,-5568,-5334,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-3930,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
そ,-5568,-5490,-3462,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-3774,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5412,-5568,-5568,-5568,-3072,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5256,-5568,-5568,-5568,-5568,-4944,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
た,-5490,-4320,-5568,-5568,-5490,-4788,-5568,-5100,-5490,-4944,-5568,-5412,-5568,-5568,-5490,-5490,-5334,-5568,-5490,-5178,-5334,-5412,-5568,-5568,-3696,-5178,-5568,-5568,-5568,-5568,-5100,-5490,-5568,-5256,-5256,-5022,-5568,-5178,-5256,-5568,-5100,-3852,-5568,-5568,-5568,-5490,-5568,-5490,-5490,-5490,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5412
ち,-5568,-5568,-5568,-5568,-5568,-5490,-5490,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5490,-5334,-5568,-5568,-5490,-5334,-5490,-5334,-5568,-5490,-5490,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5412,-5490,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
つ,-5568,-5022,-5568,-5568,-5568,-5178,-5256,-5334,-4866,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5490,-5334,-5490,-5334,-5568,-5412,-5334,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5490,-5412,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
て,-5334,2154,-5568,-5568,-5334,-5334,-5412,-5412,-5568,-5412,-5568,-4398,-5568,-5568,-5334,-5334,-5568,-5568,-5412,-5490,-5256,-5568,-5568,-5568,-5490,-5178,-5568,-5412,-5568,-5568,-4632,-5022,-5568,-5568,-4476,-5490,-5568,-5490,-5412,-5568,-5100,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
と,-5412,-2916,-5100,-5490,-5412,-4944,-5178,-5412,-5490,-4320,-5568,-4164,-5100,-5568,-5412,-5334,-5490,-5334,-5412,-5334,-5022,-4398,-5568,-5568,-5178,-4632,-5490,-5490,-5568,-5334,-5412,-5568,-5568,-5334,-3696,-5412,-5568,-5490,-5490,-5568,-5412,-5100,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-5568,-4944,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568
な,-5256,-1746,-5568,-5568,-5334,-2994,-5568,-4320,-5490,-5022,-5256,-5256,-5412,-5568,-5568,-5412,-5568,-5568,-5568,-5256,-5568,-4008,-5568,-5568,-5490,-4710,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5256,-5568,-5568,-5568,-5412,-5568,-2994,-4320,-5568,-5490,-5568,-5412,-5568,-5568,-5490,-5178,-5334,-5490,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4086,-5568
に,-5178,-5334,-5490,-5568,-5334,-4788,-5178,-5412,-5568,-5334,-5412,-4866,-5490,-5568,-5334,-5412,-5334,-5100,-5568,-5412,-4008,-5568,-5490,-5568,-5568,-3618,-5490,-5334,-5568,-5568,-5568,-5568,-5490,-5568,-4632,-5412,-5568,-5334,-4944,-5568,-5568,-5100,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5412,-5412,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5490,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぬ,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ね,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4632,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
の,-4710,-5256,-5490,-5568,-5568,-4242,-5568,-5568,-5412,-4866,-5490,-5490,-5490,-5568,-5568,-5412,-5568,-5568,-5568,-5412,-4242,-5334,-5568,-5490,-5334,-4632,-5568,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5022,-5412,-5568,-4866,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4398,-5568,-5568,-4242,-5412,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
は,-4554,-3540,-5490,-5568,-5256,-5568,-5412,-5490,-5568,-5334,-5412,-5256,-5256,-5568,-5100,-5334,-5490,-5568,-5568,-5568,-4242,-5412,-5568,-5568,-5568,-5490,-5100,-5568,-5568,-5490,-4710,-5568,-5334,-5568,-5412,-5490,-5568,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5412,-5490,-5568,-5412,-5568,-5568,-5568,-5412,-5568,-5568,-5412,-5178,-5568,-5490,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5568
ひ,-5568,-5490,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5490,-5568,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-4476,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568
ふ,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568
へ,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-4086,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ほ,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4476,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5412
ま,-5100,-4788,-5490,-5334,-5568,-5568,-5568,-5490,-5490,-5490,-5256,-3930,-2682,-3852,-5568,-4788,-5568,-5568,-5568,-5568,-5490,-4710,-5568,-5568,-5412,-5490,-5568,-5568,-4320,-5568,-5100,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-4944,-5490,-5568,-5568,-5568,-5568,-5490,-5490,-5412,-5568,-5568,-5256,-5568,-5568,-4944,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-3072,-5568
み,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-4476,-5568,-5412,-5568,-5256,-4866,-5568,-5568,-5568,-5412,-5256,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5256,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
む,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-5412,-5568,-5568,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568
め,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-4632,-5568,-5490,-4788,-5568,-5490,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5256,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
も,-4866,-5178,-4554,-5568,-5490,-5412,-5490,-5568,-5568,-5412,-5568,-5490,-5568,-5412,-5412,-5568,-5412,-5568,-5412,-5334,-4242,-5334,-5568,-5568,-4164,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5490,-5568,-5412,-5568,-5568,-5100,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4866,-5568
や,-5256,-5568,-5568,-5568,-5178,-5490,-5178,-5568,-5568,-5412,-5568,-5490,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5178,-5022,-5490,-5568,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-4866,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4398,-5568
ゆ,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
よ,-5568,-5334,-2292,-5568,-5568,-5334,-5568,-5490,-5490,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4788,-5568
